ID | TIẾT | MỨC ĐỘ | CÂU HỎI | ĐÁP ÁN ĐÚNG | CÁC ĐÁP ÁN NHIỄU KHÁC (CÁCH NHAU DẤU PHẨY)
370 | 145 | 1 | Quãng đường AB = 240km. Xe đi v=60km/h xuất phát lúc 7:00. Đến nơi lúc? | 11:00 | 10:00, 11:30, 10:30
371 | 145 | 1 | Một ca nô đi 35km trong 1 giờ 10 phút. Vận tốc là? | 30 km/h | 35 km/h, 25 km/h, 40 km/h
372 | 145 | 1 | Hai người cùng khởi hành, cùng chiều. v₁=12km/h, v₂=8km/h. Sau 3 giờ khoảng cách là? | 12 km | 4 km, 8 km, 36 km
373 | 145 | 1 | Đổi 5m/s sang m/phút: | 300 m/phút | 50 m/phút, 500 m/phút, 30 m/phút
374 | 145 | 1 | Một đoàn tàu dài 200m chạy qua cầu dài 800m hết 50 giây. Vận tốc là? | 20 m/s | 16 m/s, 10 m/s, 40 m/s
375 | 145 | 1 | Thời gian = 45 phút. Đổi ra giờ: | 0,75 giờ | 0,45 giờ, 0,5 giờ, 1,15 giờ
376 | 145 | 1 | Quãng đường 12km, thời gian 48 phút. Vận tốc (km/h) là? | 15 km/h | 12 km/h, 20 km/h, 10 km/h
377 | 146 | 1 | Thu thập số liệu là gì? | Ghi chép và tổ chức thông tin từ thực tế | Vẽ biểu đồ, Tính trung bình, Đếm số trang sách
378 | 146 | 1 | Khi phân loại số liệu ta cần: | Chia thành các nhóm theo tiêu chí | Cộng tất cả lại, Vẽ biểu đồ, Xóa số liệu trùng
379 | 146 | 1 | Lớp 5A có: 12 giỏi, 18 khá, 8 TB. Tổng số HS là? | 38 | 28, 30, 40
380 | 146 | 1 | Lớp 5A có: 12 giỏi, 18 khá, 8 TB. Loại nào nhiều nhất? | Khá | Giỏi, Trung bình, Bằng nhau
381 | 146 | 1 | Điểm kiểm tra: 8, 9, 7, 10, 8, 9, 8. Điểm xuất hiện nhiều nhất là? | 8 | 9, 7, 10
382 | 146 | 1 | Sắp xếp: 7, 10, 8, 9 từ bé đến lớn: | 7, 8, 9, 10 | 10, 9, 8, 7, 7, 9, 8, 10, 8, 7, 10, 9
383 | 146 | 1 | Loại biểu đồ nào thể hiện tỉ lệ phần trăm tốt nhất? | Biểu đồ hình quạt tròn | Biểu đồ cột, Bảng số liệu, Biểu đồ đường
384 | 146 | 1 | Bảng số liệu ghi cân nặng 5 bạn: 28, 32, 30, 35, 25 kg. Bạn nặng nhất cân? | 35 kg | 32 kg, 30 kg, 28 kg
385 | 146 | 1 | Khảo sát môn yêu thích: Toán:15, Tiếng Việt:10, T.Anh:12, Khoa học:8. Tổng HS? | 45 | 35, 40, 50
386 | 146 | 1 | Dãy số: 5, 8, 3, 8, 5, 7, 8. Số 8 xuất hiện bao nhiêu lần? | 3 | 2, 4, 1
387 | 146 | 1 | Trung bình cộng của 4, 6, 8, 10 là? | 7 | 6, 8, 28
388 | 146 | 1 | Khi sắp xếp số liệu từ lớn đến bé, ta gọi là: | Sắp xếp giảm dần | Sắp xếp tăng dần, Phân nhóm, Thu thập
389 | 146 | 1 | Một cửa hàng bán: T2:20, T3:15, T4:25, T5:18 sản phẩm. Ngày bán nhiều nhất? | Thứ Tư | Thứ Hai, Thứ Ba, Thứ Năm
390 | 146 | 1 | Bảng theo dõi nhiệt độ: 28°C, 30°C, 32°C, 29°C. Chênh lệch lớn nhất là? | 4°C | 2°C, 3°C, 5°C
391 | 146 | 1 | Thu thập số liệu bằng cách nào KHÔNG phù hợp? | Tự bịa số liệu | Phỏng vấn, Quan sát ghi chép, Đo đạc thực tế
392 | 147 | 1 | Biểu đồ hình quạt tròn dùng để: | Thể hiện tỉ lệ phần trăm các thành phần | So sánh chiều cao, Vẽ đường đi, Tính diện tích
393 | 147 | 1 | Tổng các phần trong biểu đồ hình quạt tròn bằng: | 100% | 50%, 200%, Tùy bài
394 | 147 | 1 | Biểu đồ: Toán 40%, T.Việt 30%, còn lại T.Anh. T.Anh chiếm? | 30% | 20%, 40%, 10%
395 | 147 | 1 | Phần nào chiếm 1/4 hình tròn thì bằng bao nhiêu %? | 25% | 50%, 20%, 10%
396 | 147 | 1 | Nửa hình tròn tương ứng với bao nhiêu %? | 50% | 25%, 75%, 100%
397 | 147 | 1 | Lớp 40 HS, biểu đồ cho thấy 25% thích bóng đá. Bao nhiêu HS? | 10 | 15, 20, 8
398 | 147 | 1 | Biểu đồ quạt: Đỏ 35%, Xanh 45%, Vàng còn lại. Vàng bằng? | 20% | 15%, 25%, 10%
399 | 147 | 1 | Phần 75% trên biểu đồ quạt trông giống: | 3/4 hình tròn | 1/4 hình tròn, 1/2 hình tròn, Gần hết hình tròn
400 | 147 | 1 | 100 HS khảo sát, 30% thích Khoa học. Bao nhiêu HS? | 30 | 20, 40, 10
401 | 147 | 1 | Biểu đồ quạt không thể hiện được điều gì? | Sự thay đổi theo thời gian | Tỉ lệ phần trăm, Phần lớn nhất, So sánh các thành phần
402 | 147 | 1 | 200 HS, biểu đồ thể hiện 15% đi xe buýt. Bao nhiêu HS? | 30 | 15, 20, 40
403 | 147 | 1 | Biểu đồ quạt có 3 phần: 50%, 30%, phần còn lại là? | 20% | 30%, 10%, 25%
404 | 147 | 1 | Phần chiếm 10% trên hình tròn sẽ: | Là phần rất nhỏ | Chiếm 1/4 hình tròn, Chiếm nửa hình tròn, Gần hết
405 | 147 | 1 | 80 quả, 25% là cam. Số cam là? | 20 | 25, 15, 40
406 | 147 | 1 | Một phần bằng 1/5 hình tròn tương ứng bao nhiêu %? | 20% | 25%, 15%, 10%
407 | 148 | 1 | Biểu đồ quạt: Nước 60%, Sữa 25%, Nước ép 15%. Tổng 200 ly. Nước bao nhiêu ly? | 120 | 100, 60, 150
408 | 148 | 1 | Biểu đồ quạt cửa hàng: Áo 40%, Quần 35%, Phụ kiện 25%. 500 SP. Quần bao nhiêu? | 175 | 200, 150, 125
409 | 148 | 1 | Nếu 2 phần bằng nhau trên biểu đồ quạt, mỗi phần chiếm: | Cùng % như nhau | Phần trước lớn hơn, Phần sau lớn hơn, Không thể biết
410 | 148 | 1 | 300 HS, biểu đồ: 45% nam. Số HS nữ là? | 165 | 135, 150, 180
411 | 148 | 1 | Biểu đồ quạt: Loại A 30%, B 50%, C còn lại. 400 SP. Số SP loại C? | 80 | 120, 200, 100
412 | 148 | 1 | Để vẽ biểu đồ quạt, bước đầu tiên là: | Tính tỉ lệ phần trăm mỗi thành phần | Vẽ hình tròn, Tô màu, Viết tiêu đề
413 | 148 | 1 | Phần 40% chiếm bao nhiêu độ trên hình tròn? | 144° | 120°, 160°, 100°
414 | 148 | 1 | Hình tròn có 360°. Phần 25% tương ứng bao nhiêu độ? | 90° | 60°, 45°, 120°
415 | 148 | 1 | 150 HS: Toán 40%, Khoa học 20%, T.Việt 40%. Số HS thích Khoa học? | 30 | 40, 20, 60
416 | 148 | 1 | Biểu đồ quạt: A chiếm góc 180°. A tương ứng bao nhiêu %? | 50% | 25%, 75%, 100%
417 | 148 | 1 | Tổng doanh thu 1000 triệu. Biểu đồ: Q1 20%, Q2 30%, Q3 25%, Q4? | 250 triệu | 200 triệu, 300 triệu, 150 triệu
418 | 148 | 1 | Góc 72° trên biểu đồ quạt chiếm bao nhiêu %? | 20% | 25%, 15%, 10%
419 | 148 | 1 | 60 quả bóng: Đỏ 30%, Xanh 50%. Số quả vàng là? | 12 | 20, 18, 10
420 | 148 | 1 | Biểu đồ quạt nào đúng nếu A=50%, B=50%? | Hai nửa hình tròn bằng nhau | Một phần lớn hơn, Ba phần, Bốn phần
421 | 148 | 1 | 240 HS, biểu đồ: Đi bộ 25%, Xe đạp 35%. Số HS đi xe đạp? | 84 | 60, 96, 72
422 | 149 | 1 | Gieo xúc xắc 20 lần, mặt 6 xuất hiện 4 lần. Tỉ số là? | 4/20 | 6/20, 4/6, 20/4
423 | 149 | 1 | Tung đồng xu 50 lần, mặt sấp 28 lần. Tỉ số mặt sấp là? | 28/50 | 22/50, 28/22, 50/28
424 | 149 | 1 | Rút thẻ 30 lần, thẻ đỏ 12 lần. Tỉ số thẻ đỏ là? | 12/30 | 30/12, 12/18, 18/30
425 | 149 | 1 | Gieo xúc xắc 100 lần, mặt chẵn xuất hiện 52 lần. Tỉ lệ % là? | 52% | 48%, 50%, 26%
426 | 149 | 1 | Bắn 40 phát, trúng đích 32 phát. Tỉ số trúng đích là? | 32/40 | 40/32, 8/40, 32/8
427 | 149 | 1 | Tung đồng xu 10 lần, ngửa 6 lần. Tỉ số mặt ngửa bằng bao nhiêu %? | 60% | 40%, 50%, 30%
428 | 149 | 1 | 20 lần gieo xúc xắc: mặt 1 ra 3 lần. Tỉ số rút gọn? | 3/20 | 1/20, 3/6, 17/20
429 | 149 | 1 | 50 lần rút thẻ, thẻ xanh 15 lần. Tỉ lệ % thẻ xanh? | 30% | 15%, 35%, 50%
430 | 149 | 1 | Gieo xúc xắc 60 lần, mặt lẻ 28 lần. Tỉ số mặt chẵn? | 32/60 | 28/60, 28/32, 60/28
431 | 149 | 1 | Quay mũi tên 25 lần, vùng đỏ 5 lần. Tỉ lệ % vùng đỏ? | 20% | 25%, 15%, 5%
432 | 149 | 1 | 100 lần thí nghiệm, sự kiện A xảy ra 47 lần. Tỉ số là? | 47/100 | 53/100, 47/53, 100/47
433 | 149 | 1 | Tỉ số lặp lại luôn nằm trong khoảng: | Từ 0 đến 1 | Từ 0 đến 100, Từ 1 đến 10, Bất kỳ
434 | 149 | 1 | Gieo xúc xắc, mặt nào cũng có khả năng xuất hiện bằng nhau. Tỉ số mỗi mặt khoảng: | 1/6 | 1/2, 1/3, 1/4
435 | 149 | 1 | 80 lần bốc thăm, thăm trúng 20 lần. Tỉ lệ trúng? | 25% | 20%, 30%, 40%
436 | 149 | 1 | Rút bóng 40 lần: đỏ 16, xanh 14, vàng 10. Tỉ số bóng xanh? | 14/40 | 16/40, 10/40, 14/16
437 | 150 | 1 | Bước đầu tiên khi thu thập số liệu thống kê là: | Xác định mục đích và nội dung cần thu thập | Vẽ biểu đồ, Tính trung bình, Đếm số liệu
438 | 150 | 1 | Khảo sát chiều cao 5 bạn: 130, 128, 135, 132, 130 cm. Chiều cao cao nhất? | 135 cm | 132 cm, 130 cm, 128 cm
439 | 150 | 1 | Dãy số liệu: 4, 7, 4, 9, 4, 7. Giá trị xuất hiện nhiều nhất? | 4 | 7, 9, Không có
440 | 150 | 1 | Trung bình cộng của 10, 20, 30 là: | 20 | 10, 30, 60
441 | 150 | 1 | Cách nào phù hợp để thu thập số liệu về chiều cao HS? | Đo bằng thước và ghi lại | Hỏi ước lượng, Nhìn bằng mắt, Tự nghĩ ra
442 | 150 | 1 | Bảng tần số dùng để: | Ghi lại số lần xuất hiện mỗi giá trị | Tính tổng, Vẽ biểu đồ tròn, Sắp xếp từ A-Z
443 | 150 | 1 | Số liệu: 8, 6, 9, 7, 10. Giá trị nhỏ nhất? | 6 | 7, 8, 9
444 | 150 | 1 | Khảo sát 30 HS, 12 HS thích bóng đá. Tỉ lệ %? | 40% | 30%, 50%, 12%
445 | 150 | 1 | Biểu đồ cột phù hợp để: | So sánh số lượng giữa các nhóm | Thể hiện tỉ lệ %, Vẽ đường xu hướng, Tính trung bình
446 | 150 | 1 | Điểm kiểm tra 5 bạn: 7, 8, 9, 8, 8. Điểm trung bình? | 8 | 7, 9, 40
447 | 150 | 1 | Số liệu: 12, 15, 18, 12, 20, 15, 12. Giá trị 12 xuất hiện bao nhiêu lần? | 3 | 2, 4, 1
448 | 150 | 1 | Khoảng biến thiên (range) của dãy 5, 12, 8, 3, 15 là: | 12 | 10, 15, 5
449 | 150 | 1 | Loại biểu đồ nào thể hiện sự thay đổi theo thời gian tốt nhất? | Biểu đồ đường | Biểu đồ tròn, Biểu đồ cột, Bảng số liệu
450 | 150 | 1 | 40 HS, biểu đồ cột cho thấy 15 HS đạt giỏi. Tỉ lệ? | 37,5% | 30%, 40%, 15%
451 | 150 | 1 | Sai sót thường gặp khi thu thập số liệu: | Ghi nhầm hoặc bỏ sót dữ liệu | Vẽ biểu đồ đẹp, Dùng nhiều màu, Viết chữ to
452 | 151 | 1 | Khi trình bày kết quả thu thập, ta nên: | Dùng bảng hoặc biểu đồ để trực quan | Chỉ viết văn bản dài, Không cần trình bày, Chỉ đọc số
453 | 151 | 1 | Biểu đồ cột: T2=15, T3=20, T4=25, T5=18, T6=22. Ngày bán ít nhất? | Thứ Hai | Thứ Ba, Thứ Năm, Thứ Sáu
454 | 151 | 1 | 50 HS khảo sát: Toán 18, T.Việt 12, T.Anh 10, TNXH 10. Toán chiếm bao nhiêu %? | 36% | 18%, 40%, 50%
455 | 151 | 1 | Biểu đồ đường cho thấy nhiệt độ tăng đều từ 20°C lên 32°C trong 4 giờ. Mỗi giờ tăng? | 3°C | 4°C, 2°C, 6°C
456 | 151 | 1 | Nhận xét 'Số liệu tăng sau đó giảm' thể hiện trên biểu đồ đường: | Đường đi lên rồi đi xuống | Đường luôn đi lên, Đường thẳng ngang, Đường luôn đi xuống
457 | 151 | 1 | Doanh thu 4 quý: Q1=200tr, Q2=350tr, Q3=280tr, Q4=400tr. Quý tăng nhiều nhất so với quý trước? | Quý 2 | Quý 3, Quý 4, Quý 1
458 | 151 | 1 | Trung bình cộng của 15, 20, 25, 30, 10 là: | 20 | 25, 15, 100
459 | 151 | 1 | Biểu đồ cột kép dùng để: | So sánh 2 nhóm dữ liệu cùng tiêu chí | Thể hiện 1 nhóm, Vẽ tỉ lệ %, Tính trung bình
460 | 151 | 1 | Khi phân tích số liệu, 'giá trị lớn nhất trừ giá trị nhỏ nhất' gọi là: | Khoảng biến thiên | Trung bình cộng, Tần số, Tỉ lệ
461 | 151 | 1 | 100 HS: Giỏi 20%, Khá 45%, TB 30%, Yếu 5%. Số HS khá? | 45 | 20, 50, 30
462 | 151 | 1 | Số liệu: 3, 5, 7, 5, 3, 7, 5. Trung bình cộng? | 5 | 3, 7, 35
463 | 151 | 1 | Biểu đồ nào KHÔNG phải dạng biểu đồ thống kê? | Biểu đồ tư duy | Biểu đồ tròn, Biểu đồ cột, Biểu đồ đường
464 | 151 | 1 | Lượng mưa (mm): T1=20, T2=15, T3=30, T4=45. Tháng mưa nhiều nhất? | Tháng 4 | Tháng 3, Tháng 1, Tháng 2
465 | 151 | 1 | Kết luận 'Tất cả HS đều thích Toán' từ khảo sát 5 bạn thì: | Chưa đủ căn cứ vì mẫu quá nhỏ | Hoàn toàn đúng, Có thể kết luận, Không cần kiểm tra
466 | 151 | 1 | Biểu đồ cột: Lớp 5A=38, 5B=42, 5C=35 HS. Tổng 3 lớp? | 115 | 100, 120, 110
467 | 152 | 1 | Biểu đồ tròn cho thấy 3/4 HS thích thể thao. Bằng bao nhiêu %? | 75% | 50%, 25%, 80%
468 | 152 | 1 | Biểu đồ cột: Đội A=8, B=5, C=12 bàn thắng. Đội ghi nhiều nhất? | Đội C | Đội A, Đội B, Bằng nhau
469 | 152 | 1 | 120 HS, 40% thích bơi lội. Số HS thích bơi? | 48 | 40, 60, 80
470 | 152 | 1 | Gieo xúc xắc 30 lần, mặt 3 xuất hiện 7 lần. Tỉ số? | 7/30 | 3/30, 30/7, 7/3
471 | 152 | 1 | Trung bình cộng 5 số: 12, 15, 18, 10, 15 là: | 14 | 15, 12, 70
472 | 152 | 1 | Biểu đồ quạt: Nam 55%, Nữ 45%. 200 HS. Nữ bao nhiêu? | 90 | 110, 100, 80
473 | 152 | 1 | Dãy số: 6, 8, 6, 10, 6. Giá trị xuất hiện nhiều nhất? | 6 | 8, 10, Không có
474 | 152 | 1 | Biểu đồ đường cho thấy doanh thu liên tục giảm. Nhận xét đúng? | Kinh doanh đang gặp khó khăn | Kinh doanh tốt, Ổn định, Không thể biết
475 | 152 | 1 | Tung đồng xu 80 lần, ngửa 38 lần. Tỉ lệ % mặt sấp? | 52,5% | 47,5%, 38%, 42%
476 | 152 | 1 | 60 quả: Táo 30%, Cam 45%, Lê 25%. Cam bao nhiêu quả? | 27 | 30, 18, 15
477 | 152 | 1 | Số liệu nhiệt độ 5 ngày: 28, 30, 27, 31, 29°C. Khoảng biến thiên? | 4°C | 3°C, 5°C, 29°C
478 | 152 | 1 | Biểu đồ cột kép: 5A Toán=8, Văn=7; 5B Toán=9, Văn=6. Lớp nào giỏi Toán hơn? | 5B | 5A, Bằng nhau, Không so sánh được
479 | 152 | 1 | 50 lần bắn, trúng 40 lần. Tỉ lệ trúng? | 80% | 40%, 50%, 90%
480 | 152 | 1 | Biểu đồ tròn có 4 phần: 15%, 25%, 35%, phần còn lại? | 25% | 20%, 30%, 15%
481 | 152 | 1 | Điểm TB của Mai: 8, 7, 9, 10, 6. TB cộng? | 8 | 7, 9, 40
482 | 153 | 1 | Số tự nhiên nhỏ nhất là: | 0 | 1, -1, 10
483 | 153 | 1 | Có bao nhiêu số tự nhiên có 3 chữ số? | 900 | 999, 100, 899
484 | 153 | 1 | Số lớn nhất có 4 chữ số là: | 9999 | 1000, 10000, 9990
485 | 153 | 1 | Chữ số 5 trong số 356 172 thuộc hàng nào? | Hàng chục nghìn | Hàng nghìn, Hàng trăm nghìn, Hàng trăm
486 | 153 | 1 | 45 × 2 + 45 × 8 = 45 × ? | 10 | 16, 6, 2
487 | 153 | 1 | Số nào chia hết cho cả 2 và 5? | 120 | 125, 114, 135
488 | 153 | 1 | Ước chung lớn nhất của 12 và 18 là: | 6 | 3, 12, 36
489 | 153 | 1 | Bội chung nhỏ nhất của 4 và 6 là: | 12 | 24, 6, 2
490 | 153 | 1 | Số nào là số nguyên tố? | 17 | 15, 21, 9
491 | 153 | 1 | 36 = 2² × ? | 9 | 3, 6, 18
492 | 153 | 1 | Số tự nhiên liền sau 9999 là: | 10 000 | 9998, 10 001, 100 000
493 | 153 | 1 | Giá trị chữ số 8 trong 180 254 là: | 80 000 | 8000, 800, 8
494 | 153 | 1 | 24 ÷ 4 + 24 ÷ 6 = 24 ÷ ? | Không đúng dạng | 10, 5, 2
495 | 153 | 1 | Tổng các chữ số của 2 457 là: | 18 | 14, 16, 20
496 | 153 | 1 | Dãy số: 2, 5, 11, 23, ... Số tiếp theo là: | 47 | 46, 35, 45
497 | 154 | 1 | Phân số 6/8 rút gọn được: | 3/4 | 2/4, 1/2, 6/4
498 | 154 | 1 | Quy đồng 1/3 và 1/4. Mẫu chung là: | 12 | 7, 3, 4
499 | 154 | 1 | 1/2 + 1/3 = ? | 5/6 | 2/5, 1/6, 3/5
500 | 154 | 1 | 3/4 - 1/6 = ? | 7/12 | 2/10, 1/2, 5/12
501 | 154 | 1 | Hỗn số 2⅓ viết dưới dạng phân số là: | 7/3 | 5/3, 6/3, 8/3
502 | 154 | 1 | 2/5 × 3/4 = ? | 6/20 | 5/9, 6/9, 2/20
503 | 154 | 1 | 3/4 : 1/2 = ? | 3/2 | 3/8, 1/2, 6/4
504 | 154 | 1 | So sánh: 3/5 ... 2/3 | < | >, =
505 | 154 | 1 | Phân số nào bằng 0,75? | 3/4 | 7/10, 1/4, 75/10
506 | 154 | 1 | 15% viết dưới dạng phân số tối giản: | 3/20 | 15/100, 1/15, 3/10
507 | 154 | 1 | Hỗn số 1¾ viết dưới dạng phân số là: | 7/4 | 5/4, 4/3, 3/4
508 | 154 | 1 | 2/3 của 60 là: | 40 | 30, 20, 90
509 | 154 | 1 | Một lớp có 40 HS, 3/8 là nữ. Số HS nữ là: | 15 | 12, 20, 24
510 | 154 | 1 | Sắp xếp 1/2, 3/4, 2/3 từ bé đến lớn: | 1/2, 2/3, 3/4 | 3/4, 2/3, 1/2, 2/3, 1/2, 3/4, 1/2, 3/4, 2/3
511 | 154 | 1 | 5/6 - 1/3 = ? | 1/2 | 4/3, 2/6, 5/9
